Altitude (m),Temperature (deg C),Gravity (m/s2),Pressure (N/m2),Density (kg/m3),Dynamic Viscosity (N*s/m2)
4300,-12.93110615422006,9.793396139001826,59290.80113969286,0.7937552281012423,1.65134649154416e-05
4400,-13.58021746327637,9.79308822944056,58517.57249042827,0.7853627074359957,1.6480579159721888e-05
4500,-14.229308364089775,9.792780334400327,57752.55340990853,0.7770385022220971,1.644765627402206e-05
4600,-14.878378857622693,9.792472453880212,56995.67667444137,0.7687822227669007,1.6414696157487412e-05
4700,-15.527428944837538,9.792164587879299,56246.87544763669,0.7605934806552859,1.638169870891276e-05
4800,-16.176458626696615,9.791856736396678,55506.08327910756,0.7524718887484922,1.63486638267416e-05
4900,-16.825467904162224,9.791548899431438,54773.234103172676,0.7444170611829566,1.631559140906525e-05
5000,-17.474456778196497,9.791241076982665,54048.26223756018,0.7364286133691456,1.628248135362207e-05
5100,-18.123425249761624,9.790933269049447,53331.10238211286,0.7285061619903924,1.6249333557796614e-05
5200,-18.77237331981968,9.790625475630867,52621.689617494536,0.7206493250017265,1.6216147918618867e-05
5300,-19.421300989332707,9.790317696726019,51919.95940389785,0.7128577216287052,1.6182924332763435e-05
5400,-20.070208259262643,9.790009932333986,51225.8475797536,0.705130972366246,1.614966269654878e-05
5500,-20.71909513057139,9.789702182453857,50539.29036044117,0.6974686989774549,1.611636290593648e-05
5600,-21.367961604220824,9.789394447084717,49860.22433700034,0.6898705244924549,1.6083024856530447e-05
5700,-22.01680768117268,9.789086726225657,49188.58647484458,0.682336073207213,1.6049648443576227e-05
5800,-22.66563336238869,9.788779019875767,48524.314112475615,0.6748649706823678,1.6016233561960283e-05
5900,-23.31443864883053,9.788471328034131,47867.344960199305,0.6674568437420543,1.5982780106209255e-05
6000,-23.963223541459797,9.788163650699834,47217.617098842886,0.6601113204727267,1.5949287970489315e-05
6100,-24.61198804123802,9.787855987871971,46575.0689784737,0.6528280302219845,1.591575704860547e-05
6200,-25.26073214912668,9.787548339549627,45939.63941711896,0.6456066035973915,1.5882187234000925e-05
6300,-25.9094558660872,9.787240705731888,45311.267599487284,0.6384466724652993,1.584857841975643e-05
6400,-26.55815919308094,9.786933086417847,44689.89307569122,0.6313478699496659,1.5814930498589633e-05
6500,-27.206842131069152,9.786625481606587,44075.45575997132,0.6243098304308746,1.578124336285454e-05
6600,-27.855504681013173,9.7863178912972,43467.8959294216,0.6173321895445536,1.5747516904540865e-05
6700,-28.504146843874082,9.786010315488774,42867.15422271612,0.6104145841803903,1.571375101527349e-05
6800,-29.152768620613017,9.785702754180393,42273.17163883716,0.6035566524809474,1.567994558631192e-05
6900,-29.801370012191086,9.785395207371154,41685.88953580474,0.5967580338404794,1.5646100508549728e-05
7000,-30.449951019569227,9.785087675060138,41105.24962940734,0.5900183689037439,1.561221567251407e-05
7100,-31.098511643708406,9.78478015724644,40531.193991934044,0.5833372995648134,1.5578290968365195e-05
7200,-31.747051885569476,9.784472653929141,39963.66505090822,0.5767144689658894,1.5544326285895955e-05
7300,-32.39557174611326,9.784165165107337,39402.605587822196,0.5701495214961084,1.551032151453138e-05
7400,-33.0440712263005,9.783857690780113,38847.95873687374,0.563642102790355,1.547627654332825e-05
